id,title,company,level,required_skills,nice_to_have,years_experience,salary_range
jd_0059,Senior Platform Engineer,Nexus Engineering,Senior,"AWS, Azure, Terraform, Kubernetes, Docker, Ansible, Linux","ArgoCD, GitOps, FluxCD, Canary Deployments, Progressive Delivery",7,"$132,000 - $162,000"
jd_0060,Principal SRE,CoreLogic Labs,Lead,"Multi-Cloud, AWS, Azure, Terraform, Kubernetes, Docker","Reserved Instances, Rightsizing, Spot Instances, Cloud Cost Management, FinOps",10,"$170,000 - $210,000"
jd_0061,Principal SDE,FlowData Corp,Lead,"Java, Python, Data Structures, Algorithms, System Design, REST APIs","Kotlin, Apache Flink, Event Sourcing, CQRS",10,"$170,000 - $210,000"
jd_0062,Associate Data Scientist,Nexus Engineering,Junior,"Python, SQL, Anomaly Detection, Time Series, Pandas, Scikit-learn, Statistics, Git","Airflow, ETL, Data Quality, dbt, Data Engineering",1,"$62,000 - $82,000"
jd_0063,Senior Research Engineer,VectorBase Inc.,Senior,"Python, A/B Testing, Causal Inference, Statistics, SQL, Pandas, Experimentation Platform, Git, Hyperparameter Tuning","Bayesian Inference, R, Probabilistic Programming, PyMC",6,"$132,000 - $162,000"
jd_0064,Associate AI Engineer,PulseDev Corp,Junior,"Python, SageMaker, AWS, MLOps, Scikit-learn, Pandas","Edge Deployment, Real-time Inference, ONNX Runtime, Go, Kafka",1,"$64,000 - $84,000"
jd_0065,Applied ML Engineer,FusionTech Systems,Mid,"Python, TensorFlow, Keras, Pandas, NumPy, MLOps, SQL, Cloud Platforms","Real-time Inference, Kafka, Go, ONNX Runtime, Edge Deployment",5,"$95,000 - $120,000"
jd_0066,Cloud Engineer,FlowData Corp,Mid,"Kubernetes, Argo CD, GitOps, Terraform, AWS, Docker, Linux","eBPF, Kernel Networking, Performance Tuning, Go",4,"$100,000 - $125,000"
jd_0067,SDE II,DeepSight Labs,Mid,"Node.js, TypeScript, GraphQL, MongoDB, Redis, Docker, Git","AWS, GraphQL, Terraform, Prometheus",3,"$92,000 - $118,000"
jd_0068,Senior Backend Engineer,DataNexus Corp,Senior,"Java, AWS, DynamoDB, Lambda, SQS, Git, REST APIs, Microservices","Protocol Buffers, gRPC, Ktor, OpenTelemetry",6,"$128,000 - $158,000"
jd_0069,Junior Cloud Engineer,Tandem Systems,Junior,"GCP, BigQuery, Dataflow, Terraform, Python, Kubernetes, Docker, Linux, AWS","Spot Instances, Reserved Instances, Rightsizing",0,"$66,000 - $86,000"
jd_0070,Cloud Engineer,Velocity Software,Mid,"Kubernetes, Cilium, Service Mesh, Istio, Terraform, AWS, Linux, Python","Load Balancing, Traffic Management, Envoy, Nginx",4,"$92,000 - $118,000"
jd_0071,Infrastructure Engineer,ZenithSoft,Mid,"Terraform, Pulumi, AWS, GCP, Kubernetes, Docker, Python, CI/CD, Fargate","OpenTelemetry, Distributed Tracing, New Relic, DataDog, Dynatrace",3,"$100,000 - $125,000"
jd_0072,Head of ML,Quantum Dynamics,Lead,"Python, Model Serving, TorchServe, ONNX, Triton, Kubernetes, Docker, REST APIs","Kubernetes, Seldon, BentoML, Model Registry",9,"$165,000 - $205,000"
jd_0073,Principal Data Scientist,FusionTech Systems,Senior,"Python, SQL, Pandas, Matplotlib, Seaborn, Statistics, Excel","PyMC, MCMC, Bayesian Modeling, Probabilistic Programming, Stan",6,"$128,000 - $158,000"
jd_0074,Senior Web Engineer,CoreLogic Labs,Senior,"React, Node.js, TypeScript, DynamoDB, Lambda, AWS, Git","State Management, Zustand, React Query, SWR",6,"$140,000 - $170,000"
jd_0075,SDE II,LightSpeed Dev,Mid,"Node.js, TypeScript, GraphQL, MongoDB, Redis, Docker, Git","CQRS, Kotlin, Apache Flink, Event Sourcing, DDD",4,"$88,000 - $112,000"
jd_0076,Senior Backend Engineer,GridAxis Solutions,Senior,"Go, gRPC, Distributed Systems, Kafka, Redis, PostgreSQL, Docker, Linux","Kotlin, Protocol Buffers, gRPC, OpenTelemetry, Ktor",7,"$132,000 - $162,000"
jd_0077,Senior ML Engineer,VectorBase Inc.,Senior,"Python, TensorFlow, PyTorch, Scikit-learn, MLOps, Feature Engineering","Evidently, Data Drift, Model Monitoring, Grafana, Prometheus",7,"$128,000 - $158,000"
jd_0078,Applied Data Scientist,IronForge Tech,Mid,"Python, SQL, Pandas, Monte Carlo Simulation, Statistics, Excel, Risk Modeling, Jupyter, Seaborn","Docker, Model Deployment, API Integration, MLOps",4,"$97,000 - $122,000"
jd_0079,Director of Analytics,Synapse AI Labs,Lead,"Python, SQL, Spark, BigQuery, Tableau, Statistics, A/B Testing, Business Intelligence, Statsmodels","GBM, LightGBM, Stacking, Ensemble Methods",9,"$165,000 - $205,000"
jd_0080,Senior Platform Engineer,NovaSky Technologies,Senior,"GCP, BigQuery, Dataflow, Terraform, Python, Kubernetes, Docker, Linux","OpenTelemetry, Dynatrace, New Relic",6,"$140,000 - $170,000"
jd_0081,Software Engineer I,Cascade Systems,Junior,"Go, gRPC, Distributed Systems, Kafka, Redis, PostgreSQL, Docker, Linux, Git","Protocol Buffers, gRPC, OpenTelemetry",2,"$66,000 - $86,000"
jd_0082,Junior Web Developer,OmniData Systems,Junior,"Vue 3, Nuxt, TypeScript, PostgreSQL, Pinia, Docker, Git","PWA, Web Workers, WebAssembly",2,"$70,000 - $90,000"
jd_0083,SDE II,JupiterCloud,Mid,"Node.js, TypeScript, GraphQL, MongoDB, Redis, Docker, Git","Azure, A/B Testing, Feature Flags, OpenAPI, Contract Testing",4,"$92,000 - $118,000"
jd_0084,Lead Analyst,SkyBridge Tech,Senior,"Python, R, SQL, Statistics, Machine Learning, Scikit-learn, Data Visualization, Hypothesis Testing, Pandas","Airflow, Data Quality, dbt, Data Engineering, ETL",8,"$140,000 - $170,000"
jd_0085,Software Engineer I,Apex Cloud Inc.,Junior,"Swift, iOS SDK, Xcode, REST APIs, Core Data, Git, Unit Testing, Agile, Celery","gRPC streaming, Apache Arrow, DuckDB, WebSockets, Go",2,"$66,000 - $86,000"
jd_0086,Senior SRE,BluePeak Solutions,Senior,"AWS, CDK, EKS, Docker, Linux, Python, CloudFormation","AMI, Packer, Image Hardening, Golden Images",7,"$140,000 - $170,000"
jd_0087,Junior Web Developer,ClearPath AI,Junior,"Angular, Spring Boot, Java, MySQL, REST APIs, Docker, Git, CI/CD, Next.js","Redis Pub/Sub, Kafka, WebSockets, Server-Sent Events, Real-time",1,"$60,000 - $80,000"
jd_0088,Staff Full Stack Engineer,InfiniteOps,Senior,"React, Django, Python, PostgreSQL, Celery, Redis, Docker, Git, Flask","Three.js, SVG, Data Visualization",6,"$130,000 - $160,000"
jd_0089,DevOps Engineer,CoreLogic Labs,Mid,"Azure, Terraform, AKS, Docker, Linux, PowerShell, CI/CD, IaC, Ansible","Policy as Code, Kyverno, OPA, Admission Controllers, RBAC",3,"$90,000 - $115,000"
jd_0090,Software Engineer (Full Stack),NeuralPath Inc.,Mid,"React, Django, Python, PostgreSQL, Celery, Redis","Playwright, Accessibility, Performance Optimization, Storybook, Cypress",3,"$88,000 - $112,000"
jd_0091,Senior Platform Engineer,DataNexus Corp,Senior,"AWS, Azure, Terraform, Kubernetes, Docker, Ansible, Linux, Security","Rust, Go, Performance Tuning, eBPF, Kernel Networking",6,"$135,000 - $165,000"
jd_0092,Associate Full Stack Engineer,Quantum Dynamics,Junior,"React, TypeScript, Remix, Prisma, PostgreSQL, Docker, Git, CSS Modules","Storybook, Cypress, Performance Optimization, Accessibility",0,"$66,000 - $86,000"
jd_0093,SDE II,IronForge Tech,Mid,"Java, Python, Data Structures, Algorithms, System Design, REST APIs, Git","Elixir, Phoenix, PubSub, GenServer",4,"$100,000 - $125,000"
jd_0094,Principal SDE,BluePeak Solutions,Lead,"Java, AWS, DynamoDB, Lambda, SQS, Git, REST APIs, Microservices, Unit Testing","Schema Registry, Redis Streams, Confluent, ksqlDB, Apache Avro",9,"$175,000 - $215,000"
jd_0095,Senior DevOps Engineer,DawnByte Inc.,Senior,"AWS, Lambda, Serverless, API Gateway, DynamoDB, Python","Consul, Service Discovery, Nomad, Vault, Secrets Management",6,"$128,000 - $158,000"
jd_0096,Site Reliability Engineer,Meridian Analytics,Mid,"AWS, ECS, Fargate, Terraform, Docker, Python","Load Balancing, Linkerd, Traffic Management, Envoy, Nginx",3,"$93,000 - $119,000"
jd_0097,Platform Engineer,WaveLogic Labs,Mid,"AWS, Lambda, Serverless, API Gateway, DynamoDB, Python, CI/CD, IaC, Terraform","Consul, Service Discovery, Secrets Management, Vault, Nomad",5,"$93,000 - $119,000"
jd_0098,AI Engineer,MangoSoft,Mid,"Python, Model Serving, TorchServe, ONNX, Triton, Kubernetes, Docker, REST APIs, Fine-tuning","Weaviate, Semantic Search, Pinecone, Milvus, LlamaIndex",3,"$92,000 - $118,000"
jd_0099,Tech Lead (Full Stack),LightSpeed Dev,Senior,"Vue.js, Express, JavaScript, MongoDB, REST APIs, Docker, Git","OpenSearch, Full-Text Search, Algolia",5,"$128,000 - $158,000"
jd_0100,Principal AI Engineer,ClearPath AI,Lead,"Python, Multi-modal Models, Vision-Language, CLIP, PyTorch, Docker, Git, REST APIs","Ray Serve, Model Registry, Seldon, Kubernetes, BentoML",8,"$175,000 - $215,000"
jd_0101,AI Engineer,DeepSight Labs,Mid,"Python, AutoML, NAS, Hyperparameter Tuning, MLflow, Scikit-learn, SQL, Docker, MLOps","Scala, Databricks, Delta Lake, Spark MLlib, Feature Platform",4,"$97,000 - $122,000"
jd_0102,Staff Cloud Engineer,PulseDev Corp,Senior,"AWS, Security Hub, IAM, KMS, Terraform, Kubernetes","Secrets Management, Vault, Consul, Nomad, Service Discovery",6,"$140,000 - $170,000"
jd_0103,Associate Full Stack Engineer,UpStream Tech,Junior,"React, Node.js, TypeScript, PostgreSQL, REST APIs, Docker, Git, CSS","OpenAPI, API Design, Swagger",2,"$62,000 - $82,000"
jd_0104,Senior Software Engineer,IronForge Tech,Senior,"Go, Kubernetes, gRPC, Prometheus, PostgreSQL, Linux, Git, CI/CD, System Programming","Rust, Chaos Engineering, eBPF",8,"$140,000 - $170,000"
jd_0105,Tech Lead (Full Stack),LightSpeed Dev,Senior,"Vue.js, Laravel, PHP, MySQL, REST APIs, Docker, Git","PWA, Web Workers, WebAssembly",8,"$140,000 - $170,000"
jd_0106,Analytics Scientist,Cascade Systems,Mid,"Python, SQL, Pandas, NumPy, Looker, Statistics, A/B Testing","NetworkX, Community Detection, Link Prediction, Graph Analytics, Neo4j",3,"$92,000 - $118,000"
jd_0107,Senior Data Scientist,BrightMind AI,Senior,"Python, SQL, Pandas, Time Series Analysis, Forecasting, Tableau, Statistics, Jupyter","Bayesian Modeling, PyMC, MCMC, Probabilistic Programming, Stan",7,"$130,000 - $160,000"
jd_0108,Principal ML Engineer,QuantumLeap Tech,Senior,"Python, PyTorch, Diffusion Models, Generative AI, LLM Fine-tuning, Hugging Face","Kafka, ONNX Runtime, Edge Deployment, Real-time Inference",8,"$145,000 - $175,000"
jd_0109,Research Engineer,GigaStack Inc.,Mid,"Python, Model Serving, TorchServe, ONNX, Triton, Kubernetes, Docker, REST APIs, SQL, Pandas","SIMD, Latency Reduction, Memory Optimization, C++, Profiling",4,"$90,000 - $115,000"
jd_0110,Staff Engineer,XcelCloud,Senior,"C++, Multithreading, System Programming, Linux, CMake, Git, Performance Optimization, REST APIs, Kafka","Elasticsearch, OpenTelemetry, TypeScript",6,"$138,000 - $168,000"
jd_0111,Staff Full Stack Engineer,HaloTech Systems,Senior,"React, Next.js, TypeScript, PostgreSQL, GraphQL, Docker, Git, Tailwind CSS","Storybook, Cypress, Accessibility",7,"$130,000 - $160,000"
jd_0112,Cloud Engineer I,SkyBridge Tech,Junior,"AWS, Lambda, Serverless, API Gateway, DynamoDB, Python","Load Balancing, Traffic Management, Envoy",1,"$66,000 - $86,000"
jd_0113,Analytics Scientist,KeystoneAI,Mid,"Python, SQL, Anomaly Detection, Time Series, Pandas, Scikit-learn","Metabase, Tableau Server, Redash, Looker",4,"$95,000 - $120,000"
jd_0114,Tech Lead (Full Stack),RiftData Labs,Senior,"Vue.js, Express, JavaScript, MongoDB, REST APIs, Docker, Git, HTML/CSS","React Query, Jotai, SWR",7,"$138,000 - $168,000"
jd_0115,Senior Cloud Engineer,JupiterCloud,Senior,"AWS, CDK, EKS, Docker, Linux, Python, CloudFormation, CI/CD","Go, Performance Tuning, eBPF",6,"$132,000 - $162,000"
jd_0116,Staff Cloud Engineer,HexaData Corp,Senior,"GCP, BigQuery, Dataflow, Terraform, Python, Kubernetes, Docker","AMI, Image Hardening, Golden Images, Packer, CIS Benchmarks",8,"$140,000 - $170,000"
jd_0117,Staff Engineer,HaloTech Systems,Senior,"JavaScript, Node.js, TypeScript, PostgreSQL, REST APIs, Docker, Git","Python, LLM APIs, Observability, ML basics",7,"$130,000 - $160,000"
jd_0118,Infrastructure Engineer,Vanguard Systems,Mid,"Azure, Terraform, Azure Functions, Event Grid, Service Bus, Python, Docker, Linux","Service Discovery, Secrets Management, Vault",4,"$95,000 - $120,000"
jd_0119,DevOps Engineer,Stellar Innovations,Mid,"AWS, CDK, EKS, Docker, Linux, Python, CloudFormation, CI/CD","Rust, Go, eBPF",4,"$92,000 - $118,000"
jd_0120,Cloud Engineer I,XcelCloud,Junior,"AWS, Azure, Terraform, Kubernetes, Docker, Ansible, Linux, Security, Service Bus, Event Grid","Linkerd, Traffic Management, Nginx, Load Balancing",0,"$68,000 - $88,000"
jd_0121,Staff Full Stack Engineer,SolidOps,Senior,"Next.js, TypeScript, Prisma, PostgreSQL, Tailwind CSS, Vercel, Git","WebAssembly, Micro Frontends, Web Workers, PWA, GraphQL Federation",7,"$128,000 - $158,000"
jd_0122,Backend Engineer,JetStream Analytics,Mid,"JavaScript, Node.js, TypeScript, PostgreSQL, REST APIs, Docker","Feature Flags, OpenAPI, Azure",4,"$97,000 - $122,000"
jd_0123,Data Scientist,FusionTech Systems,Mid,"Python, SQL, Spark, BigQuery, Tableau, Statistics, A/B Testing","Graph Analytics, Community Detection, Neo4j, NetworkX, Link Prediction",3,"$88,000 - $112,000"
jd_0124,Lead Analyst,CoreLogic Labs,Senior,"Python, SQL, Causal Inference, Bayesian Statistics, Pandas, Scikit-learn","Plotly Dash, R Shiny, Streamlit, Bokeh",6,"$132,000 - $162,000"
jd_0125,Junior Cloud Engineer,SkyBridge Tech,Junior,"Kubernetes, Helm, Terraform, AWS, Docker, Linux, Python, Monitoring, Prometheus","Nomad, Vault, Consul, Secrets Management",1,"$68,000 - $88,000"
jd_0126,Lead Analyst,MeshCloud Inc.,Senior,"Python, SQL, Recommendation Engine, Collaborative Filtering, Pandas, Statistics, Jupyter, Tableau","Stan, PyMC, Probabilistic Programming, MCMC, Bayesian Modeling",7,"$145,000 - $175,000"
jd_0127,Senior Data Scientist,PeakSoft Labs,Senior,"Python, SQL, Recommendation Engine, Collaborative Filtering, Pandas, Statistics, Jupyter, Tableau, Excel","API Integration, MLOps, Kubernetes, Model Deployment, Docker",6,"$140,000 - $170,000"
jd_0128,Senior Platform Engineer,TurboStack,Senior,"AWS, Lambda, Serverless, API Gateway, DynamoDB, Python, CI/CD, IaC, Ansible, Azure","Service Discovery, Consul, Nomad, Vault, Secrets Management",6,"$145,000 - $175,000"
