role,level,skill,course_name,course_type,course_url,time_to_complete,project_name,project_type,project_description,certification_name,cert_provider,cert_cost
Full Stack Engineer,Junior,REST APIs,"REST API Design, Development & Management (Rajeev Sakhuja)",Paid,https://www.udemy.com/course/rest-api/,11h,Weather Aggregator API,Free,Design and build a RESTful API that aggregates weather data from multiple public APIs with rate limiting — following a guided tutorial with focus on core concepts,N/A,N/A,N/A
Full Stack Engineer,Mid,REST APIs,"REST API Design, Development & Management (Rajeev Sakhuja)",Paid,https://www.udemy.com/course/rest-api/,11h,Weather Aggregator API,Free,Design and build a RESTful API that aggregates weather data from multiple public APIs with rate limiting — independently with documentation and debugging,N/A,N/A,N/A
Full Stack Engineer,Senior,REST APIs,"REST API Design, Development & Management (Rajeev Sakhuja)",Paid,https://www.udemy.com/course/rest-api/,11h,Weather Aggregator API,Free,"Design and build a RESTful API that aggregates weather data from multiple public APIs with rate limiting — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
Full Stack Engineer,Lead,REST APIs,"REST API Design, Development & Management (Rajeev Sakhuja)",Paid,https://www.udemy.com/course/rest-api/,11h,Weather Aggregator API,Free,"Design and build a RESTful API that aggregates weather data from multiple public APIs with rate limiting — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
Full Stack Engineer,Junior,GraphQL,The Modern GraphQL Bootcamp (Andrew Mead),Paid,https://www.udemy.com/course/graphql-bootcamp/,26h,Social Media GraphQL API,Free,"Build a GraphQL API with subscriptions, mutations, and authentication for a microblogging platform — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
Full Stack Engineer,Mid,GraphQL,The Modern GraphQL Bootcamp (Andrew Mead),Paid,https://www.udemy.com/course/graphql-bootcamp/,26h,Social Media GraphQL API,Free,"Build a GraphQL API with subscriptions, mutations, and authentication for a microblogging platform — independently with documentation and debugging",N/A,N/A,N/A
Full Stack Engineer,Senior,GraphQL,The Modern GraphQL Bootcamp (Andrew Mead),Paid,https://www.udemy.com/course/graphql-bootcamp/,26h,Social Media GraphQL API,Free,"Build a GraphQL API with subscriptions, mutations, and authentication for a microblogging platform — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
Full Stack Engineer,Lead,GraphQL,The Modern GraphQL Bootcamp (Andrew Mead),Paid,https://www.udemy.com/course/graphql-bootcamp/,26h,Social Media GraphQL API,Free,"Build a GraphQL API with subscriptions, mutations, and authentication for a microblogging platform — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
Full Stack Engineer,Junior,Tailwind CSS,Tailwind CSS From Scratch (Brad Traversy),Paid,https://www.udemy.com/course/tailwind-from-scratch/,13h,Portfolio Website with Dark Mode,Free,"Build a responsive developer portfolio with dark/light toggle, custom config, and animated components — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
Full Stack Engineer,Mid,Tailwind CSS,Tailwind CSS From Scratch (Brad Traversy),Paid,https://www.udemy.com/course/tailwind-from-scratch/,13h,Portfolio Website with Dark Mode,Free,"Build a responsive developer portfolio with dark/light toggle, custom config, and animated components — independently with documentation and debugging",N/A,N/A,N/A
Full Stack Engineer,Senior,Tailwind CSS,Tailwind CSS From Scratch (Brad Traversy),Paid,https://www.udemy.com/course/tailwind-from-scratch/,13h,Portfolio Website with Dark Mode,Free,"Build a responsive developer portfolio with dark/light toggle, custom config, and animated components — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
Full Stack Engineer,Lead,Tailwind CSS,Tailwind CSS From Scratch (Brad Traversy),Paid,https://www.udemy.com/course/tailwind-from-scratch/,13h,Portfolio Website with Dark Mode,Free,"Build a responsive developer portfolio with dark/light toggle, custom config, and animated components — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
Full Stack Engineer,Junior,Docker,Docker & Kubernetes: The Practical Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/docker-kubernetes-the-practical-guide/,24h,Dockerized Microservices App,Free,"Containerize a 3-service app (frontend, backend, DB) with Docker Compose, volumes, and networking — following a guided tutorial with focus on core concepts",Docker Certified Associate,Docker,Paid
Full Stack Engineer,Mid,Docker,Docker & Kubernetes: The Practical Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/docker-kubernetes-the-practical-guide/,24h,Dockerized Microservices App,Free,"Containerize a 3-service app (frontend, backend, DB) with Docker Compose, volumes, and networking — independently with documentation and debugging",Docker Certified Associate,Docker,Paid
Full Stack Engineer,Senior,Docker,Docker & Kubernetes: The Practical Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/docker-kubernetes-the-practical-guide/,24h,Dockerized Microservices App,Free,"Containerize a 3-service app (frontend, backend, DB) with Docker Compose, volumes, and networking — with production-grade error handling, testing, and documentation",Docker Certified Associate,Docker,Paid
Full Stack Engineer,Lead,Docker,Docker & Kubernetes: The Practical Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/docker-kubernetes-the-practical-guide/,24h,Dockerized Microservices App,Free,"Containerize a 3-service app (frontend, backend, DB) with Docker Compose, volumes, and networking — while mentoring a peer, writing ADRs, and reviewing code",Docker Certified Associate,Docker,Paid
Full Stack Engineer,Junior,Git,Git & GitHub Bootcamp (Colt Steele),Paid,https://www.udemy.com/course/git-and-github-bootcamp/,17h,Open Source Contribution Workflow,Free,"Fork a real open-source repo, create feature branches, write commits, raise a PR with rebasing and conflict resolution — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
Full Stack Engineer,Mid,Git,Git & GitHub Bootcamp (Colt Steele),Paid,https://www.udemy.com/course/git-and-github-bootcamp/,17h,Open Source Contribution Workflow,Free,"Fork a real open-source repo, create feature branches, write commits, raise a PR with rebasing and conflict resolution — independently with documentation and debugging",N/A,N/A,N/A
Full Stack Engineer,Senior,Git,Git & GitHub Bootcamp (Colt Steele),Paid,https://www.udemy.com/course/git-and-github-bootcamp/,17h,Open Source Contribution Workflow,Free,"Fork a real open-source repo, create feature branches, write commits, raise a PR with rebasing and conflict resolution — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
Full Stack Engineer,Lead,Git,Git & GitHub Bootcamp (Colt Steele),Paid,https://www.udemy.com/course/git-and-github-bootcamp/,17h,Open Source Contribution Workflow,Free,"Fork a real open-source repo, create feature branches, write commits, raise a PR with rebasing and conflict resolution — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
Full Stack Engineer,Junior,Redux,"Redux Toolkit – Complete Tutorial (freeCodeCamp, YouTube)",Free,https://www.youtube.com/watch?v=bbkBuqC1rU4,4h,Shopping Cart with Redux Toolkit,Free,"Build a shopping cart with global state, slices, async thunks for API calls, and persistence via localStorage — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
Full Stack Engineer,Mid,Redux,"Redux Toolkit – Complete Tutorial (freeCodeCamp, YouTube)",Free,https://www.youtube.com/watch?v=bbkBuqC1rU4,4h,Shopping Cart with Redux Toolkit,Free,"Build a shopping cart with global state, slices, async thunks for API calls, and persistence via localStorage — independently with documentation and debugging",N/A,N/A,N/A
Full Stack Engineer,Senior,Redux,"Redux Toolkit – Complete Tutorial (freeCodeCamp, YouTube)",Free,https://www.youtube.com/watch?v=bbkBuqC1rU4,4h,Shopping Cart with Redux Toolkit,Free,"Build a shopping cart with global state, slices, async thunks for API calls, and persistence via localStorage — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
Full Stack Engineer,Lead,Redux,"Redux Toolkit – Complete Tutorial (freeCodeCamp, YouTube)",Free,https://www.youtube.com/watch?v=bbkBuqC1rU4,4h,Shopping Cart with Redux Toolkit,Free,"Build a shopping cart with global state, slices, async thunks for API calls, and persistence via localStorage — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
Full Stack Engineer,Junior,Jest,JavaScript Unit Testing – The Practical Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/javascript-unit-testing-the-practical-guide/,8h,Test Suite for Utility Library,Free,"Write unit, integration, and mock tests for a utility module covering edge cases and async functions — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
Full Stack Engineer,Mid,Jest,JavaScript Unit Testing – The Practical Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/javascript-unit-testing-the-practical-guide/,8h,Test Suite for Utility Library,Free,"Write unit, integration, and mock tests for a utility module covering edge cases and async functions — independently with documentation and debugging",N/A,N/A,N/A
Full Stack Engineer,Senior,Jest,JavaScript Unit Testing – The Practical Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/javascript-unit-testing-the-practical-guide/,8h,Test Suite for Utility Library,Free,"Write unit, integration, and mock tests for a utility module covering edge cases and async functions — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
Full Stack Engineer,Lead,Jest,JavaScript Unit Testing – The Practical Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/javascript-unit-testing-the-practical-guide/,8h,Test Suite for Utility Library,Free,"Write unit, integration, and mock tests for a utility module covering edge cases and async functions — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
Full Stack Engineer,Junior,CI/CD,GitHub Actions - The Complete Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/github-actions-the-complete-guide/,14h,Automated Deploy Pipeline,Free,"Create a GitHub Actions pipeline that runs tests, builds Docker images, and deploys to a cloud service on merge — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
Full Stack Engineer,Mid,CI/CD,GitHub Actions - The Complete Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/github-actions-the-complete-guide/,14h,Automated Deploy Pipeline,Free,"Create a GitHub Actions pipeline that runs tests, builds Docker images, and deploys to a cloud service on merge — independently with documentation and debugging",N/A,N/A,N/A
Full Stack Engineer,Senior,CI/CD,GitHub Actions - The Complete Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/github-actions-the-complete-guide/,14h,Automated Deploy Pipeline,Free,"Create a GitHub Actions pipeline that runs tests, builds Docker images, and deploys to a cloud service on merge — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
Full Stack Engineer,Lead,CI/CD,GitHub Actions - The Complete Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/github-actions-the-complete-guide/,14h,Automated Deploy Pipeline,Free,"Create a GitHub Actions pipeline that runs tests, builds Docker images, and deploys to a cloud service on merge — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
Full Stack Engineer,Junior,MongoDB,MongoDB – The Complete Developer's Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/mongodb-the-complete-developers-guide/,17h,Inventory Management System,Free,"Build a CRUD inventory app using MongoDB Atlas, Mongoose, aggregation pipelines, and text search — following a guided tutorial with focus on core concepts",MongoDB Associate Developer,MongoDB,Paid
Full Stack Engineer,Mid,MongoDB,MongoDB – The Complete Developer's Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/mongodb-the-complete-developers-guide/,17h,Inventory Management System,Free,"Build a CRUD inventory app using MongoDB Atlas, Mongoose, aggregation pipelines, and text search — independently with documentation and debugging",MongoDB Associate Developer,MongoDB,Paid
Full Stack Engineer,Senior,MongoDB,MongoDB – The Complete Developer's Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/mongodb-the-complete-developers-guide/,17h,Inventory Management System,Free,"Build a CRUD inventory app using MongoDB Atlas, Mongoose, aggregation pipelines, and text search — with production-grade error handling, testing, and documentation",MongoDB Associate Developer,MongoDB,Paid
Full Stack Engineer,Lead,MongoDB,MongoDB – The Complete Developer's Guide (Maximilian Schwarzmüller),Paid,https://www.udemy.com/course/mongodb-the-complete-developers-guide/,17h,Inventory Management System,Free,"Build a CRUD inventory app using MongoDB Atlas, Mongoose, aggregation pipelines, and text search — while mentoring a peer, writing ADRs, and reviewing code",MongoDB Associate Developer,MongoDB,Paid
Full Stack Engineer,Junior,Redis,Redis Bootcamp (Stephen Grider),Paid,https://www.udemy.com/course/redis-the-complete-developers-guide-p/,17h,Rate Limiter and Session Cache,Free,"Implement a rate limiter and session store using Redis with TTL, sorted sets, and pub/sub messaging — following a guided tutorial with focus on core concepts",Redis Certified Developer,Redis,Paid
Full Stack Engineer,Mid,Redis,Redis Bootcamp (Stephen Grider),Paid,https://www.udemy.com/course/redis-the-complete-developers-guide-p/,17h,Rate Limiter and Session Cache,Free,"Implement a rate limiter and session store using Redis with TTL, sorted sets, and pub/sub messaging — independently with documentation and debugging",Redis Certified Developer,Redis,Paid
Full Stack Engineer,Senior,Redis,Redis Bootcamp (Stephen Grider),Paid,https://www.udemy.com/course/redis-the-complete-developers-guide-p/,17h,Rate Limiter and Session Cache,Free,"Implement a rate limiter and session store using Redis with TTL, sorted sets, and pub/sub messaging — with production-grade error handling, testing, and documentation",Redis Certified Developer,Redis,Paid
Full Stack Engineer,Lead,Redis,Redis Bootcamp (Stephen Grider),Paid,https://www.udemy.com/course/redis-the-complete-developers-guide-p/,17h,Rate Limiter and Session Cache,Free,"Implement a rate limiter and session store using Redis with TTL, sorted sets, and pub/sub messaging — while mentoring a peer, writing ADRs, and reviewing code",Redis Certified Developer,Redis,Paid
ML Engineer,Junior,Python,100 Days of Code: The Complete Python Pro Bootcamp (Angela Yu),Paid,https://www.udemy.com/course/100-days-of-code/,60h,CLI Data Analysis Tool,Free,"Build a command-line tool that reads CSV data, performs statistical analysis, and outputs formatted reports — following a guided tutorial with focus on core concepts",PCEP – Certified Entry-Level Python Programmer,Python Institute,Paid
ML Engineer,Mid,Python,100 Days of Code: The Complete Python Pro Bootcamp (Angela Yu),Paid,https://www.udemy.com/course/100-days-of-code/,60h,CLI Data Analysis Tool,Free,"Build a command-line tool that reads CSV data, performs statistical analysis, and outputs formatted reports — independently with documentation and debugging",PCEP – Certified Entry-Level Python Programmer,Python Institute,Paid
ML Engineer,Senior,Python,100 Days of Code: The Complete Python Pro Bootcamp (Angela Yu),Paid,https://www.udemy.com/course/100-days-of-code/,60h,CLI Data Analysis Tool,Free,"Build a command-line tool that reads CSV data, performs statistical analysis, and outputs formatted reports — with production-grade error handling, testing, and documentation",PCEP – Certified Entry-Level Python Programmer,Python Institute,Paid
ML Engineer,Lead,Python,100 Days of Code: The Complete Python Pro Bootcamp (Angela Yu),Paid,https://www.udemy.com/course/100-days-of-code/,60h,CLI Data Analysis Tool,Free,"Build a command-line tool that reads CSV data, performs statistical analysis, and outputs formatted reports — while mentoring a peer, writing ADRs, and reviewing code",PCEP – Certified Entry-Level Python Programmer,Python Institute,Paid
ML Engineer,Junior,PyTorch,PyTorch for Deep Learning Bootcamp (Zero to Mastery),Paid,https://www.udemy.com/course/pytorch-for-deep-learning/,44h,Image Classifier with CNN,Free,"Train a CNN on CIFAR-10, implement data augmentation, track metrics with TensorBoard, and export the model — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
ML Engineer,Mid,PyTorch,PyTorch for Deep Learning Bootcamp (Zero to Mastery),Paid,https://www.udemy.com/course/pytorch-for-deep-learning/,44h,Image Classifier with CNN,Free,"Train a CNN on CIFAR-10, implement data augmentation, track metrics with TensorBoard, and export the model — independently with documentation and debugging",N/A,N/A,N/A
ML Engineer,Senior,PyTorch,PyTorch for Deep Learning Bootcamp (Zero to Mastery),Paid,https://www.udemy.com/course/pytorch-for-deep-learning/,44h,Image Classifier with CNN,Free,"Train a CNN on CIFAR-10, implement data augmentation, track metrics with TensorBoard, and export the model — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
ML Engineer,Lead,PyTorch,PyTorch for Deep Learning Bootcamp (Zero to Mastery),Paid,https://www.udemy.com/course/pytorch-for-deep-learning/,44h,Image Classifier with CNN,Free,"Train a CNN on CIFAR-10, implement data augmentation, track metrics with TensorBoard, and export the model — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
ML Engineer,Junior,TensorFlow,TensorFlow Developer Certificate in 2023: Zero to Mastery,Paid,https://www.udemy.com/course/tensorflow-developer-certificate-machine-learning-zero-to-mastery/,64h,Text Sentiment Classifier,Free,"Build a binary sentiment classifier using TensorFlow, tokenization, LSTM layers, and deploy with TF Serving — following a guided tutorial with focus on core concepts",TensorFlow Developer Certificate,Google,Paid
ML Engineer,Mid,TensorFlow,TensorFlow Developer Certificate in 2023: Zero to Mastery,Paid,https://www.udemy.com/course/tensorflow-developer-certificate-machine-learning-zero-to-mastery/,64h,Text Sentiment Classifier,Free,"Build a binary sentiment classifier using TensorFlow, tokenization, LSTM layers, and deploy with TF Serving — independently with documentation and debugging",TensorFlow Developer Certificate,Google,Paid
ML Engineer,Senior,TensorFlow,TensorFlow Developer Certificate in 2023: Zero to Mastery,Paid,https://www.udemy.com/course/tensorflow-developer-certificate-machine-learning-zero-to-mastery/,64h,Text Sentiment Classifier,Free,"Build a binary sentiment classifier using TensorFlow, tokenization, LSTM layers, and deploy with TF Serving — with production-grade error handling, testing, and documentation",TensorFlow Developer Certificate,Google,Paid
ML Engineer,Lead,TensorFlow,TensorFlow Developer Certificate in 2023: Zero to Mastery,Paid,https://www.udemy.com/course/tensorflow-developer-certificate-machine-learning-zero-to-mastery/,64h,Text Sentiment Classifier,Free,"Build a binary sentiment classifier using TensorFlow, tokenization, LSTM layers, and deploy with TF Serving — while mentoring a peer, writing ADRs, and reviewing code",TensorFlow Developer Certificate,Google,Paid
ML Engineer,Junior,LangChain,LangChain- Develop LLM Powered Apps (Udemy),Paid,https://www.udemy.com/course/langchain/,9h,Document Q&A Chatbot,Free,"Build a chatbot that ingests PDFs, chunks them, embeds with OpenAI, stores in FAISS, and answers questions — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
ML Engineer,Mid,LangChain,LangChain- Develop LLM Powered Apps (Udemy),Paid,https://www.udemy.com/course/langchain/,9h,Document Q&A Chatbot,Free,"Build a chatbot that ingests PDFs, chunks them, embeds with OpenAI, stores in FAISS, and answers questions — independently with documentation and debugging",N/A,N/A,N/A
ML Engineer,Senior,LangChain,LangChain- Develop LLM Powered Apps (Udemy),Paid,https://www.udemy.com/course/langchain/,9h,Document Q&A Chatbot,Free,"Build a chatbot that ingests PDFs, chunks them, embeds with OpenAI, stores in FAISS, and answers questions — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
ML Engineer,Lead,LangChain,LangChain- Develop LLM Powered Apps (Udemy),Paid,https://www.udemy.com/course/langchain/,9h,Document Q&A Chatbot,Free,"Build a chatbot that ingests PDFs, chunks them, embeds with OpenAI, stores in FAISS, and answers questions — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
ML Engineer,Junior,MLflow,MLflow in Action – Master the Open Source Platform (Udemy),Paid,https://www.udemy.com/course/mlflow-course/,6h,ML Experiment Tracker,Free,"Track scikit-learn model experiments, log params/metrics/artifacts, compare runs, and register a model — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
ML Engineer,Mid,MLflow,MLflow in Action – Master the Open Source Platform (Udemy),Paid,https://www.udemy.com/course/mlflow-course/,6h,ML Experiment Tracker,Free,"Track scikit-learn model experiments, log params/metrics/artifacts, compare runs, and register a model — independently with documentation and debugging",N/A,N/A,N/A
ML Engineer,Senior,MLflow,MLflow in Action – Master the Open Source Platform (Udemy),Paid,https://www.udemy.com/course/mlflow-course/,6h,ML Experiment Tracker,Free,"Track scikit-learn model experiments, log params/metrics/artifacts, compare runs, and register a model — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
ML Engineer,Lead,MLflow,MLflow in Action – Master the Open Source Platform (Udemy),Paid,https://www.udemy.com/course/mlflow-course/,6h,ML Experiment Tracker,Free,"Track scikit-learn model experiments, log params/metrics/artifacts, compare runs, and register a model — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
ML Engineer,Junior,HuggingFace,NLP with Transformers (Hugging Face Official Course),Free,https://huggingface.co/learn/nlp-course/,20h,Named Entity Recognition Pipeline,Free,"Fine-tune a BERT model on a NER dataset, build an inference pipeline, and host on HuggingFace Spaces — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
ML Engineer,Mid,HuggingFace,NLP with Transformers (Hugging Face Official Course),Free,https://huggingface.co/learn/nlp-course/,20h,Named Entity Recognition Pipeline,Free,"Fine-tune a BERT model on a NER dataset, build an inference pipeline, and host on HuggingFace Spaces — independently with documentation and debugging",N/A,N/A,N/A
ML Engineer,Senior,HuggingFace,NLP with Transformers (Hugging Face Official Course),Free,https://huggingface.co/learn/nlp-course/,20h,Named Entity Recognition Pipeline,Free,"Fine-tune a BERT model on a NER dataset, build an inference pipeline, and host on HuggingFace Spaces — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
ML Engineer,Lead,HuggingFace,NLP with Transformers (Hugging Face Official Course),Free,https://huggingface.co/learn/nlp-course/,20h,Named Entity Recognition Pipeline,Free,"Fine-tune a BERT model on a NER dataset, build an inference pipeline, and host on HuggingFace Spaces — while mentoring a peer, writing ADRs, and reviewing code",N/A,N/A,N/A
ML Engineer,Junior,RAG,Building and Evaluating Advanced RAG (DeepLearning.AI),Free,https://www.deeplearning.ai/short-courses/building-evaluating-advanced-rag/,2h,Research Paper Assistant,Free,"Build a RAG system that ingests arxiv PDFs, uses hybrid search, re-ranking, and answers domain questions — following a guided tutorial with focus on core concepts",N/A,N/A,N/A
ML Engineer,Mid,RAG,Building and Evaluating Advanced RAG (DeepLearning.AI),Free,https://www.deeplearning.ai/short-courses/building-evaluating-advanced-rag/,2h,Research Paper Assistant,Free,"Build a RAG system that ingests arxiv PDFs, uses hybrid search, re-ranking, and answers domain questions — independently with documentation and debugging",N/A,N/A,N/A
ML Engineer,Senior,RAG,Building and Evaluating Advanced RAG (DeepLearning.AI),Free,https://www.deeplearning.ai/short-courses/building-evaluating-advanced-rag/,2h,Research Paper Assistant,Free,"Build a RAG system that ingests arxiv PDFs, uses hybrid search, re-ranking, and answers domain questions — with production-grade error handling, testing, and documentation",N/A,N/A,N/A
